"POOL_ADDRESS","POOL_NAME","TOTALVALUELOCKEDUSD","TOKEN0_ADDRESS","TOKEN1_ADDRESS","TOKEN0_SYMBOL","TOKEN1_SYMBOL"
"0x1c98562a2fab5af19d8fb3291a36ac3c618835d9","Uniswap V3 Metis Token/Wrapped Ether 0.3%",1875150,"0x9e32b13ce7f2e80a01932b42553652e053d6ed8e","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","Metis","WETH"
"0x8db1b906d47dfc1d84a87fc49bd0522e285b98b9","Uniswap V3 agEUR/Wrapped Ether 0.05%",1844796,"0x1a7e4e63778b4f12a199c062f3efdd288afcbce8","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","agEUR","WETH"
"0xdb1d1c9a42e3d10717c415bd06853ea7ae818823","Uniswap V3 Mr F was here/Wrapped Ether 1%",1827131,"0x3d5d3dcd01469ef8c6bc9c45665835814635c725","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","MRF","WETH"
"0x92ab871abb9d567aa276b2ce58d0203d84e0181e","Uniswap V3 Blur/USD Coin 0.3%",1823797,"0x5283d291dbcf85356a21ba090e6db59121208b44","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","BLUR","USDC"
"0xcd423f3ab39a11ff1d9208b7d37df56e902c932b","Uniswap V3 Prime/Wrapped Ether 1%",1790969,"0xb23d80f5fefcddaa212212f028021b41ded428cf","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","PRIME","WETH"
"0x2837809fd68e4a4104af76bbec5b622b6146b2cb","Uniswap V3 Wrapped Ether/Rail 1%",1761486,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xe76c6c83af64e4c60245d8c7de953df673a7a33d","WETH","RAIL"
"0xe2680fd7cdbb04e9087a647ad4d023ef6c8fb4e2","Uniswap V3 HuntToken/Wrapped Ether 0.3%",1760828,"0x9aab071b4129b083b01cb5a0cb513ce7eca26fa5","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","HUNT","WETH"
"0xb18b7fa1f11ca5c34046fd72312ddb66036b900b","Uniswap V3 Wrapped Ether/Schwap 1%",1741656,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xf4b899a8c3071b3f2646fa58a3605016116a1b96","WETH","SCH"
"0x6a61cd16ec0c73b3855beecc4c378dcbdb63f88e","Uniswap V3 Wrapped Ether/UniWhales.io 1%",1738099,"0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","0xdbdd6f355a37b94e6c7d32fef548e98a280b8df5","WETH","UWL"
"0xccab9aab49e7ce843fec2be7db343fcb24ca6764","Uniswap V3 DUST Protocol/Wrapped Ether 0.3%",1704734,"0xb5b1b659da79a2507c27aad509f15b4874edc0cc","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","DUST","WETH"
"0xd43b29aaf8ad938cff4f478a0756defffb329d07","Uniswap V3 Orbit Chain/Wrapped Ether 0.3%",1702773,"0x662b67d00a13faf93254714dd601f5ed49ef2f51","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","ORC","WETH"
"0x34ff465ee92516e9855eb60f520df0384f410b45","Uniswap V3 Synth sUSD/Frax 0.05%",1693645,"0x57ab1ec28d129707052df4df418d58a2d46d5f51","0x853d955acef822db058eb8505911ed77f175b99e","sUSD","FRAX"
